model_name,test_accuracy,test_loss,macro_avg_f1-score,weighted_avg_f1-score
resnet50_baseline,0.5208,1.2538,0.2653,0.4315
vgg16_baseline,0.6371,1.0023,0.3926,0.5596
inceptionv3_baseline,0.8116,0.5956,0.7415,0.8055
mobilenetv2_baseline,0.8615,0.4199,0.8167,0.8597
efficientnetb0_baseline,0.4017,1.4344,0.1146,0.2302
mobilenetv2_finetuned,0.8947,0.4113,0.8614,0.894
mobilenetv2_finetuned_weighted,0.8947,0.4452,0.8514,0.8942
efficientnetb0_finetuned,0.4017,1.4025,0.1146,0.2302
efficientnetb0_finetuned_weighted,0.3878,1.6033,0.137,0.2595
inceptionv3_finetuned,0.8643,0.5655,0.8116,0.8632
inceptionv3_finetuned_weighted,0.8643,0.5155,0.8119,0.8652
vgg16_finetuned,0.903,0.4535,0.8602,0.9013
vgg16_finetuned_weighted,0.8864,0.4462,0.837,0.887
resnet50_finetuned,0.6648,1.5255,0.5626,0.666
resnet50_finetuned_weighted,0.6343,1.4947,0.5507,0.6474
